,politicalParty,results.ballotItems.name,percent_of_contest,label,precinctsParticipating,precinctsReporting
122,Rep,State House of Representatives - District 9,100.0,"<b>William S. Wade (I) (Rep)</b><br>32,101 votes",7,7
123,Rep,State House of Representatives - District 10,82.93582099121626,"<b>Victor Anderson (I) (Rep)</b><br>25,871 votes",6,6
124,Dem,State House of Representatives - District 10,17.06417900878374,"<b>Paulette Williams (Dem)</b><br>5,323 votes",6,6
125,Rep,State House of Representatives - District 11,82.78017241379311,"<b>Rick Jasperse (I) (Rep)</b><br>30,728 votes",17,17
126,Dem,State House of Representatives - District 11,17.219827586206897,"<b>Kayla L. Hollifield (Dem)</b><br>6,392 votes",17,17
127,Rep,State House of Representatives - District 12,81.68506593069611,"<b>Eddie Lumsden (I) (Rep)</b><br>21,310 votes",18,18
128,Dem,State House of Representatives - District 12,18.314934069303895,"<b>Logan Johnson (Dem)</b><br>4,778 votes",18,18
129,Rep,State House of Representatives - District 13,69.73399567342359,"<b>Katie Dempsey (I) (Rep)</b><br>17,407 votes",11,11
130,Dem,State House of Representatives - District 13,30.266004326576397,"<b>Kevin Aronhalt (Dem)</b><br>7,555 votes",11,11
131,Rep,State House of Representatives - District 14,100.0,"<b>Mitchell L. Scoggins (I) (Rep)</b><br>30,460 votes",13,13
132,Rep,State House of Representatives - District 15,100.0,"<b>Matthew Gambill (I) (Rep)</b><br>25,032 votes",10,10
133,Rep,State House of Representatives - District 16,100.0,"<b>Trey Kelley (I) (Rep)</b><br>25,296 votes",14,14
134,Rep,State House of Representatives - District 17,100.0,"<b>Martin Momtahan (I) (Rep)</b><br>25,364 votes",11,11
135,Rep,State House of Representatives - District 18,100.0,"<b>Tyler Paul Smith (I) (Rep)</b><br>30,101 votes",21,21
136,Rep,State House of Representatives - District 19,57.31319786595142,"<b>Joseph Gullett (I) (Rep)</b><br>19,659 votes",12,12
137,Dem,State House of Representatives - District 19,42.68680213404857,"<b>R.J. Coyle (Dem)</b><br>14,642 votes",12,12
138,Rep,State House of Representatives - District 20,100.0,"<b>Charlice Byrd (I) (Rep)</b><br>28,540 votes",10,10
139,Rep,State House of Representatives - District 21,74.98253331608228,"<b>Brad Thomas (I) (Rep)</b><br>28,977 votes",11,11
140,Dem,State House of Representatives - District 21,25.01746668391771,"<b>Mitchell Simmons (Dem)</b><br>9,668 votes",11,11
141,Rep,State House of Representatives - District 22,60.54799650480589,"<b>Jordan Ridley (I) (Rep)</b><br>19,402 votes",15,15
142,Dem,State House of Representatives - District 22,39.45200349519411,"<b>James ""JL"" Shade (Dem)</b><br>12,642 votes",15,15
143,Rep,State House of Representatives - District 23,100.0,"<b>Mandi Ballinger (I) (Rep)</b><br>29,402 votes",8,8
144,Rep,State House of Representatives - District 24,67.48357020298488,"<b>Carter Barrett (I) (Rep)</b><br>20,845 votes",9,9
145,Dem,State House of Representatives - District 24,32.516429797015114,"<b>Randye Dugan (Dem)</b><br>10,044 votes",9,9
146,Rep,State House of Representatives - District 25,61.01347393087288,"<b>Todd Jones (I) (Rep)</b><br>18,747 votes",8,8
147,Dem,State House of Representatives - District 25,38.98652606912712,"<b>Elaine Padgett (Dem)</b><br>11,979 votes",8,8
148,Rep,State House of Representatives - District 26,70.77490540239754,"<b>Lauren Wylie McDonald, III (I) (Rep)</b><br>22,258 votes",10,10
149,Dem,State House of Representatives - District 26,29.225094597602467,"<b>Lakiea J. Bailey (Dem)</b><br>9,191 votes",10,10
150,Rep,State House of Representatives - District 27,100.0,"<b>Lee Hawkins (I) (Rep)</b><br>30,558 votes",12,12
151,Rep,State House of Representatives - District 28,78.28655834564255,"<b>Brent Cox (I) (Rep)</b><br>26,500 votes",10,10
